epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,3294.11,1.52326,1.35408,1.42234,0.69838,0.60631,0.66823,0.35349,1.70043,1.46411,1.57954,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,3394.72,1.50505,1.34167,1.40529,0.65569,0.65248,0.67413,0.3473,1.7432,1.44202,1.61087,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,3495.35,1.51111,1.32735,1.40896,0.68086,0.63043,0.68152,0.34586,1.72783,1.45617,1.59651,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,3595.21,1.49978,1.32047,1.40063,0.70755,0.66111,0.71161,0.36826,1.70052,1.34198,1.58017,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,3694.76,1.50565,1.29475,1.39539,0.66474,0.65732,0.67509,0.34853,1.7063,1.40161,1.57625,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,3794.03,1.47907,1.28794,1.38687,0.68698,0.68049,0.70683,0.37181,1.73066,1.35676,1.60424,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,3893.55,1.46791,1.2624,1.38064,0.69561,0.66162,0.7021,0.36986,1.69641,1.33986,1.57861,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,3993.08,1.47871,1.27492,1.38132,0.71261,0.65592,0.70677,0.36806,1.69621,1.32278,1.56645,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,4093.23,1.45668,1.21571,1.36168,0.68064,0.67496,0.70918,0.36145,1.7564,1.37071,1.62161,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,4192.98,1.43623,1.20301,1.34929,0.69838,0.68054,0.71536,0.38529,1.72102,1.30181,1.58968,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,4292.82,1.44083,1.21425,1.35316,0.67068,0.68043,0.72035,0.37902,1.69695,1.30802,1.5758,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,4392.9,1.43524,1.19903,1.34557,0.71701,0.65854,0.71948,0.37864,1.697,1.29503,1.57316,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,4493.08,1.43298,1.20591,1.34618,0.70045,0.68372,0.7288,0.38212,1.69489,1.28869,1.56095,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,4593.28,1.42366,1.18697,1.3394,0.70374,0.68878,0.72624,0.3696,1.73743,1.27385,1.59031,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,4693.56,1.40946,1.16176,1.32497,0.70065,0.68155,0.72025,0.37332,1.72197,1.30769,1.58731,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,4793.85,1.41124,1.16013,1.32918,0.72543,0.69196,0.74367,0.39344,1.70428,1.26237,1.58346,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,4893.81,1.38774,1.13924,1.31501,0.75864,0.66031,0.72864,0.38302,1.73173,1.26538,1.59422,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,4993.25,1.38386,1.1172,1.31006,0.71403,0.68626,0.72231,0.37842,1.74478,1.27886,1.60577,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,5093.44,1.38369,1.10729,1.30497,0.71347,0.69203,0.72903,0.38517,1.71691,1.24883,1.58126,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,5193.2,1.36694,1.09006,1.29273,0.71856,0.67936,0.71384,0.37796,1.7245,1.26723,1.58075,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,5292.82,1.35926,1.08456,1.2889,0.71126,0.68738,0.71782,0.38185,1.72067,1.23719,1.57948,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,5392.08,1.35114,1.06574,1.28197,0.75886,0.65591,0.72555,0.38279,1.73064,1.25808,1.58758,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,5491.84,1.35478,1.07404,1.28467,0.7398,0.67848,0.73031,0.37796,1.72704,1.22752,1.60014,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,5591.91,1.34489,1.04866,1.28031,0.68804,0.70736,0.72676,0.3891,1.71561,1.23503,1.57989,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,5692.06,1.3359,1.0478,1.27596,0.70636,0.70191,0.73146,0.38352,1.73422,1.19856,1.60229,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,5792.12,1.33581,1.0198,1.27391,0.73325,0.7041,0.73896,0.38537,1.73101,1.21502,1.59286,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,5893.06,1.32116,1.01395,1.26659,0.7178,0.72157,0.72876,0.39045,1.72566,1.20695,1.59238,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,5993.96,1.30356,0.99811,1.25393,0.72618,0.69668,0.73617,0.38806,1.72153,1.18408,1.59445,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,6094.7,1.30303,0.99874,1.25087,0.74215,0.67224,0.7259,0.38962,1.72859,1.19864,1.59244,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,6195.51,1.29715,0.98104,1.2429,0.73194,0.69241,0.72361,0.38364,1.74543,1.2347,1.60301,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,6294.94,1.28667,0.97479,1.23789,0.72912,0.69535,0.73786,0.38581,1.74786,1.22301,1.61884,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,6394.3,1.28188,0.96794,1.23458,0.71963,0.70143,0.73354,0.38281,1.76833,1.25369,1.62047,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,6494.08,1.27076,0.95746,1.23608,0.75468,0.68898,0.73253,0.38722,1.76287,1.20257,1.61998,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,6594.21,1.27005,0.95595,1.22987,0.7323,0.68843,0.72842,0.38003,1.76197,1.20112,1.62542,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,6694.05,1.25105,0.9236,1.21858,0.73079,0.70346,0.73216,0.38236,1.77014,1.23047,1.63292,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,6793.67,1.24879,0.92335,1.21883,0.73035,0.67494,0.72708,0.38624,1.74955,1.21296,1.61062,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
