epoch,lr,lambda_saliency,train_detection_loss,train_saliency_loss,train_total_loss,train_energy_in_box,train_pointing_game,train_saliency_iou,val_precision,val_recall,val_map50,val_map50_95,val_fitness,epoch_seconds
1,0.0033259423503325942,0.0,8.24,0.9840781134935281,8.24,0.015921887218902617,0.06806651972938661,0.029104717243091098,0.34755,0.24991,0.20543,0.08869,0.08869,139.6986448764801
2,0.0065493976348854396,0.0002,6.64342,0.9859499409299204,6.643617189988186,0.014050058613710947,0.04495963784923468,0.018939579369814163,0.24738,0.35106,0.2147,0.08444,0.08444,113.37131977081299
3,0.009662852919438285,0.0004,6.48282,0.9870618703360039,6.483214824748135,0.012938130185412792,0.043228644356707174,0.0175095471128111,0.26084,0.27944,0.20066,0.07369,0.07369,113.27301526069641
4,0.009505,0.0006000000000000001,6.4954,0.9875598302701625,6.4959925358981625,0.012440171726708799,0.04887880868187583,0.01896941753831215,0.28069,0.3758,0.23981,0.09286,0.09286,113.11507940292358
5,0.009340000000000001,0.0008,6.20991,0.9877555875186117,6.210700204470014,0.01224441258257416,0.0396419169866927,0.015393761896266046,0.37753,0.37428,0.31492,0.13624,0.13624,112.76285886764526
6,0.009175,0.001,5.9895700000000005,0.9882555963459142,5.990558255596347,0.011744403728426427,0.05599292631109014,0.016698660010971676,0.38152,0.42281,0.34176,0.14647,0.14647,113.1872444152832
7,0.00901,0.0012000000000000001,5.78965,0.9883514008342295,5.790836021681001,0.011648597801826944,0.043478330498644635,0.016502849551169676,0.41857,0.40185,0.37444,0.17219,0.17219,113.04490995407104
8,0.008845,0.0014,5.68629,0.9892381252576401,5.6876749333753605,0.01076187171711031,0.038250968969006816,0.013056675934474378,0.51795,0.49117,0.48673,0.22164,0.22164,113.16785621643066
9,0.00868,0.0016,5.55197,0.9884918174828236,5.553551586907973,0.011508183884217576,0.03928024023964236,0.012907722386065097,0.45658,0.51851,0.47356,0.2187,0.2187,113.10085582733154
10,0.008515,0.0018,5.41529,0.9889832842112116,5.41707016991158,0.01101671342640917,0.040094950917448455,0.01245552295108559,0.54664,0.50294,0.51096,0.24151,0.24151,113.03568029403687
11,0.008350000000000002,0.002,5.3870000000000005,0.9887762624778663,5.388977552524956,0.01122373629344871,0.03518569903586193,0.012552710516407193,0.581,0.54309,0.56423,0.27534,0.27534,113.38143634796143
12,0.008185,0.0021999999999999997,5.27714,0.9886839757208814,5.279315104746586,0.011316023402519013,0.04591811650423354,0.013737482559803187,0.51778,0.56242,0.53975,0.25659,0.25659,113.36043500900269
13,0.008020000000000001,0.0024000000000000002,5.2014000000000005,0.988673226135533,5.203772815742726,0.011326773535096792,0.04099719834094764,0.012712247556120885,0.6071,0.56199,0.57794,0.28576,0.28576,114.23691892623901
14,0.007855,0.0026000000000000003,5.12305,0.9884594668305898,5.12561999461376,0.011540535038250381,0.04591871962604188,0.013940304521876005,0.58725,0.50347,0.52593,0.25079,0.25079,114.63310027122498
