epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/sal_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/sal_loss,lr/pg0,lr/pg1,lr/pg2
39,4450.97,1.46413,1.28111,1.38522,0.98816,0.74394,0.6568,0.72725,0.38173,1.68684,1.30841,1.57515,0,0.00373,0.00373,0.00373
40,4563.44,1.4435,1.2322,1.3733,0.98743,0.74898,0.65329,0.72965,0.38326,1.71596,1.32024,1.59905,0,0.003565,0.003565,0.003565
41,4675.54,1.42955,1.2236,1.35759,0.98754,0.71058,0.68793,0.73313,0.38823,1.69736,1.2933,1.58089,0,0.0034,0.0034,0.0034
42,4787.99,1.42575,1.21726,1.35247,0.98772,0.70539,0.70739,0.73103,0.39042,1.6808,1.2866,1.56128,0,0.003235,0.003235,0.003235
43,4900.42,1.41479,1.20769,1.35005,0.98752,0.74044,0.68927,0.73825,0.39348,1.68864,1.29295,1.57352,0,0.00307,0.00307,0.00307
44,5012.97,1.41025,1.19123,1.34486,0.98776,0.73601,0.67481,0.74039,0.39626,1.66901,1.26989,1.57025,0,0.002905,0.002905,0.002905
45,5125.53,1.40517,1.18311,1.34412,0.98726,0.76745,0.66633,0.74095,0.38478,1.70374,1.27578,1.57396,0,0.00274,0.00274,0.00274
46,5238.38,1.39057,1.15609,1.3255,0.98724,0.73484,0.69894,0.74591,0.38966,1.69732,1.25618,1.58083,0,0.002575,0.002575,0.002575
47,5351.36,1.38878,1.1585,1.33088,0.98733,0.73692,0.7217,0.75887,0.39847,1.68626,1.24723,1.58161,0,0.00241,0.00241,0.00241
48,5463.94,1.36343,1.1284,1.31173,0.98699,0.75547,0.6873,0.7516,0.39425,1.69788,1.23272,1.58021,0,0.002245,0.002245,0.002245
49,5576.21,1.35519,1.10687,1.30482,0.98711,0.72071,0.69251,0.73619,0.38436,1.69197,1.2632,1.58885,0,0.00208,0.00208,0.00208
50,5688.87,1.34949,1.09591,1.30235,0.98709,0.74773,0.68175,0.73584,0.38913,1.69475,1.24855,1.58197,0,0.001915,0.001915,0.001915
51,5799.48,1.2971,0.95172,1.30697,0.98782,0.74501,0.71411,0.75376,0.39486,1.69761,1.2329,1.58933,0,0.00175,0.00175,0.00175
52,5908.45,1.25817,0.89547,1.28006,0.9878,0.75133,0.68858,0.74534,0.39015,1.7006,1.22714,1.5966,0,0.001585,0.001585,0.001585
53,6017.49,1.23034,0.87158,1.26506,0.98776,0.73601,0.71585,0.74573,0.38962,1.7055,1.22274,1.60276,0,0.00142,0.00142,0.00142
54,6126.07,1.21878,0.85089,1.25811,0.98782,0.77103,0.68935,0.74625,0.38352,1.72752,1.23992,1.62209,0,0.001255,0.001255,0.001255
55,6234.95,1.20623,0.83169,1.24846,0.9879,0.76068,0.69993,0.74493,0.38885,1.72833,1.23695,1.61994,0,0.00109,0.00109,0.00109
56,6343.86,1.18994,0.81638,1.23349,0.98767,0.75552,0.68347,0.74695,0.39134,1.72691,1.2359,1.62946,0,0.000925,0.000925,0.000925
57,6452.79,1.17467,0.79079,1.23057,0.98755,0.74526,0.69404,0.74776,0.38516,1.74124,1.24901,1.63561,0,0.00076,0.00076,0.00076
